timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_pct_b,atr,signal_sma_20_50_cross,signal_rsi,signal_macd,signal_bb,composite_signal
2025-02-23 02:00:00,97638.8,97725.2,97020.0,97334.7,98.969,,,,97334.7,97334.7,97334.7,,0.0,0.0,0.0,,,,,,0,0,0,0,0.0
2025-02-23 03:00:00,97301.9,97846.7,96680.0,97800.0,131.724,,,,97406.28461538462,97369.16666666667,97352.94705882353,,37.117948717947,7.4235897435894005,29.694358974357602,,,,,,0,0,1,0,0.25
2025-02-23 04:00:00,97798.3,97800.0,97502.4,97712.7,47.484,,,,97453.42544378698,97394.61358024692,97367.05501730104,,58.811863540060585,17.70124450288364,41.110619037176946,,,,,,0,0,1,0,0.25
2025-02-23 05:00:00,97673.7,97815.2,97209.6,97611.2,77.562,,,,97477.69845243514,97410.65701874715,97376.62933034806,,67.04143368799123,27.569282339905158,39.47215134808607,,,,,,0,0,1,0,0.25
2025-02-23 06:00:00,97670.8,97814.3,97337.6,97804.0,51.036,,,,97527.89869052205,97439.79353587699,97393.38896445207,,88.1051546450617,39.67645680093647,48.42869784412523,,,,,,0,0,1,0,0.25
2025-02-23 07:00:00,97793.1,97890.9,96909.9,97205.2,150.857,,,,97478.25273813405,97422.41623692313,97386.00900506179,,55.83650121091341,42.90846568293186,12.92803552798155,,,,,,0,0,1,0,0.25
2025-02-23 08:00:00,97105.5,97502.4,96700.0,97210.7,126.49,,,,97437.09077842112,97406.7335527066,97379.13414211819,,30.357225714513334,40.398217689248156,-10.040991974734823,,,,,,0,0,-1,0,-0.25
2025-02-23 09:00:00,97210.7,97795.2,97118.0,97404.8,94.654,,,,97432.12296635633,97406.59032658019,97380.14064634885,,25.53263977613824,37.42510210662618,-11.892462330487938,,,,,,0,0,-1,0,-0.25
2025-02-23 10:00:00,97404.8,98000.0,96680.0,97999.8,181.813,,,,97519.45789460921,97450.53178387055,97404.4410131587,,68.92611073865555,43.72530383303206,25.200806905623494,,,,,,0,0,1,0,0.25
2025-02-23 11:00:00,97926.7,97999.8,97531.4,97789.6,81.177,,,,97561.01821851548,97475.64794802829,97419.54528715249,,85.37027048719756,52.05429716386516,33.3159733233324,,,,,,0,0,1,0,0.25
2025-02-23 12:00:00,97691.5,97900.1,97020.0,97339.5,137.713,,,,97526.93849259002,97465.56291484101,97416.40625628376,,61.375577749015065,53.91855328089514,7.457024468119926,,,,,,0,0,1,0,0.25
